Código Ámbito,Ámbito,Código área (M49),Área,Código Elemento,Elemento,Código Producto,Producto,Código año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1320","Herbicidas","2009","2009","toneladas","202554","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1320","Herbicidas","2010","2010","toneladas","189537","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1320","Herbicidas","2011","2011","toneladas","188745","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1320","Herbicidas","2012","2012","toneladas","214201","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1320","Herbicidas","2013","2013","toneladas","213244","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1320","Herbicidas","2014","2014","toneladas","215725","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1320","Herbicidas","2015","2015","toneladas","220186","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1320","Herbicidas","2016","2016","toneladas","234384","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1320","Herbicidas","2017","2017","toneladas","234384","F","Estimación FAO"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1320","Herbicidas","2018","2018","toneladas","234384","F","Estimación FAO"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1320","Herbicidas","2019","2019","toneladas","234384","F","Estimación FAO"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1320","Herbicidas","1990","1990","toneladas","206384","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1320","Herbicidas","1991","1991","toneladas","199580","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1320","Herbicidas","1992","1992","toneladas","204116","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1320","Herbicidas","1993","1993","toneladas","192777","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1320","Herbicidas","1994","1994","toneladas","219992","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1320","Herbicidas","1995","1995","toneladas","209106","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1320","Herbicidas","1996","1996","toneladas","218178","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
