Código Ámbito,Ámbito,Código área (M49),Área,Código Elemento,Elemento,Código Producto,Producto,Código año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1331","Fungicidas y bactericidas","2010","2010","toneladas","3731","Fc","Datos calculados"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1331","Fungicidas y bactericidas","2011","2011","toneladas","3853","Fc","Datos calculados"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1331","Fungicidas y bactericidas","2012","2012","toneladas","3887","F","Estimación FAO"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1331","Fungicidas y bactericidas","2013","2013","toneladas","3921","F","Estimación FAO"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1331","Fungicidas y bactericidas","2014","2014","toneladas","3956","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1331","Fungicidas y bactericidas","2015","2015","toneladas","4036","F","Estimación FAO"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1331","Fungicidas y bactericidas","2016","2016","toneladas","4117","F","Estimación FAO"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1331","Fungicidas y bactericidas","2017","2017","toneladas","4198","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1331","Fungicidas y bactericidas","2018","2018","toneladas","3427","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1331","Fungicidas y bactericidas","2019","2019","toneladas","3596","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1309","Insecticidas","1990","1990","toneladas","18388","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1309","Insecticidas","1991","1991","toneladas","19557","F","Estimación FAO"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1309","Insecticidas","1992","1992","toneladas","20726","F","Estimación FAO"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1309","Insecticidas","1993","1993","toneladas","21894","F","Estimación FAO"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1309","Insecticidas","1994","1994","toneladas","23063","F","Estimación FAO"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1309","Insecticidas","1995","1995","toneladas","24232","F","Estimación FAO"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1309","Insecticidas","1996","1996","toneladas","25401","F","Estimación FAO"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1309","Insecticidas","1997","1997","toneladas","26569","F","Estimación FAO"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1309","Insecticidas","1998","1998","toneladas","27738","F","Estimación FAO"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1309","Insecticidas","1999","1999","toneladas","28907","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1309","Insecticidas","2000","2000","toneladas","28382","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1309","Insecticidas","2001","2001","toneladas","29799","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
